species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
grywag,xc:485891,17,13,0.457,0.36,5.94,19.46
grywag,xc:324350,4,8,4.949,7.44,39.59,40.01
grywag,xc:767548,29,9,1.573,0.21,14.16,23.85
grywag,xc:711977,5,4,4.818,5.795,19.27,20.79
grywag,xc:864014,4,1,3.12,3.12,3.12,3.16
grywag,xc:324349,5,10,6.816,8.0,68.16,69.19
grywag,xc:592132,3,3,0.167,0.21,0.5,7.61
grywag,xc:783762,12,8,0.396,0.225,3.17,8.0
grywag,xc:388636,15,3,2.003,2.48,6.01,7.26
grywag,xc:696159,35,10,2.286,0.89,22.86,24.84
grywag,xc:722424,41,29,0.447,0.26,12.97,42.92
grywag,xc:608016,35,15,0.998,0.45,14.97,31.65
grywag,xc:78168,16,8,0.987,0.57,7.9,13.22
grywag,xc:27018,14,21,4.143,2.78,87.0,88.77
grywag,xc:724109,26,11,1.615,0.48,17.77,28.42
grywag,xc:797914,15,8,1.235,0.575,9.88,15.39
grywag,xc:507377,164,74,0.602,0.22,44.56,102.04
grywag,xc:695870,3,1,7.42,7.42,7.42,7.48
jabwar,xc:285821,20,7,1.81,1.43,12.67,15.99
jabwar,xc:697521,9,9,0.484,0.13,4.36,18.45
jabwar,xc:410204,2,1,1.0,1.0,1.0,1.04
jabwar,xc:27362,33,12,1.197,0.94,14.36,35.19
jabwar,xc:34404,25,11,1.479,1.69,16.27,25.71
jabwar,xc:155854,50,12,1.735,1.325,20.82,33.1
jabwar,xc:285699,16,15,3.657,2.77,54.86,56.64
jabwar,xc:286125,38,12,1.494,0.79,17.93,29.34
jabwar,xc:581688,140,67,0.859,0.16,57.55,116.43
jabwar,xc:1069473,31,6,2.98,3.105,17.88,21.32
jabwar,xc:285848,76,15,3.089,2.37,46.33,59.98
jabwar,xc:191203,117,13,2.94,2.4,38.22,42.94
jabwar,xc:385100,115,23,2.032,1.3,46.73,67.69
jabwar,xc:191038,65,15,2.962,2.63,44.43,50.53
jabwar,xc:191037,66,25,2.868,2.68,71.69,86.78
jabwar,xc:992374,18,11,0.567,0.13,6.24,37.76
jabwar,xc:329587,78,24,1.217,0.77,29.2,53.74
jabwar,xc:309570,19,14,0.445,0.105,6.23,19.28
jabwar,xc:486788,64,31,1.262,0.16,39.12,66.97
jabwar,xc:191195,64,40,0.744,0.175,29.77,68.39
japwag1,xc:294783,1,1,1.02,1.02,1.02,1.06
japwag1,xc:527476,8,4,1.168,0.39,4.67,7.82
japwag1,xc:841046,7,6,4.482,4.13,26.89,27.38
japwag1,xc:532311,7,5,0.606,0.71,3.03,21.56
japwag1,xc:704676,24,9,1.112,0.49,10.01,15.26
japwag1,xc:454869,33,9,3.567,2.95,32.1,33.96
japwag1,xc:176437,52,26,0.665,0.565,17.28,33.95
japwag1,xc:841047,22,11,3.519,2.89,38.71,39.91
japwag1,xc:89513,10,5,3.862,3.86,19.31,20.87
japwag1,xc:704677,51,27,0.553,0.13,14.93,33.83
japwag1,ml:160012331,44,29,0.33,0.18,9.58,31.3
japwag1,ml:648118383,55,10,1.637,0.855,16.37,22.65
japwag1,inat:121419,34,23,0.545,0.38,12.53,43.19
japwag1,ml:611293787,51,16,2.018,1.06,32.29,39.29
japwag1,ml:170805251,94,36,0.774,0.285,27.88,70.08
japwag1,ml:620086200,64,18,1.099,0.64,19.78,31.29
japwag1,ml:640402579,23,8,0.685,0.51,5.48,10.4
japwag1,ml:640256369,23,8,2.664,1.4,21.31,25.95
japwag1,ml:203968901,33,9,3.567,2.95,32.1,33.96
japwag1,ml:646279463,10,7,4.569,3.94,31.98,32.91
labcro1,xc:811530,22,9,3.579,3.71,32.21,34.08
