recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:466085,brebul1,4,9,1.957,0.217,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_466085_comparison.png
xc:466085,brebul1,5,1,4.979,4.979,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_466085_comparison.png
xc:200439,brebul1,1,259,67.593,0.261,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_200439_comparison.png
xc:200439,brebul1,2,335,60.764,0.181,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_200439_comparison.png
xc:200439,brebul1,3,205,130.932,0.639,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_200439_comparison.png
xc:200439,brebul1,4,160,15.517,0.097,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_200439_comparison.png
xc:200439,brebul1,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_200439_comparison.png
xc:784921,brebul1,1,26,6.426,0.247,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_784921_comparison.png
xc:784921,brebul1,2,49,6.876,0.14,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_784921_comparison.png
xc:784921,brebul1,3,27,14.829,0.549,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_784921_comparison.png
xc:784921,brebul1,4,20,2.078,0.104,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_784921_comparison.png
xc:784921,brebul1,5,1,19.522,19.522,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_784921_comparison.png
xc:194695,buhshr1,1,9,0.813,0.09,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_194695_comparison.png
xc:194695,buhshr1,2,15,1.411,0.094,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_194695_comparison.png
xc:194695,buhshr1,3,8,6.888,0.861,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_194695_comparison.png
xc:194695,buhshr1,4,8,0.412,0.052,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_194695_comparison.png
xc:194695,buhshr1,5,1,7.782,7.782,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_194695_comparison.png
xc:88961,buhshr1,1,8,3.756,0.469,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_88961_comparison.png
xc:88961,buhshr1,2,17,1.936,0.114,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_88961_comparison.png
xc:88961,buhshr1,3,8,6.06,0.758,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_88961_comparison.png
xc:88961,buhshr1,4,10,1.271,0.127,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/buhshr1/xc_88961_comparison.png
