ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
gyfwoo1,Picus canus,ヤマゲラ,Gray-headed Woodpecker,0.002963279166666667,0.0052922,48.0,resident
lidjay1,Garrulus lidthi,ルリカケス,Lidth's Jay,0.0029030083333333335,0.0131742,48.0,resident
cremyn,Acridotheres cristatellus,ハッカチョウ,Crested Myna,0.002849814583333334,0.0052138,48.0,resident
comter,Sterna hirundo,アジサシ,Common Tern,0.002847808333333333,0.0110753,42.0,resident
bktgod,Limosa limosa,オグロシギ,Black-tailed Godwit,0.002804210416666666,0.0168301,39.0,summer
layalb,Phoebastria immutabilis,コアホウドリ,Laysan Albatross,0.002760252083333333,0.0099668,48.0,resident
horgre,Podiceps auritus,ミミカイツブリ,Horned Grebe,0.002708535416666666,0.0090498,35.0,winter
yelbit,Ixobrychus sinensis,ヨシゴイ,Yellow Bittern,0.002585122916666667,0.0120903,41.0,summer
shtsan,Calidris acuminata,ウズラシギ,Sharp-tailed Sandpiper,0.002582645833333333,0.0104662,34.0,summer
ancmur,Synthliboramphus antiquus,ウミスズメ,Ancient Murrelet,0.0025168166666666666,0.00925,46.0,resident
arcwar2,Phylloscopus examinandus,オオムシクイ,Kamchatka Leaf Warbler,0.0024990000000000004,0.0191271,28.0,summer
orimag1,Pica serica,カササギ,Oriental Magpie,0.002486697916666668,0.004896,48.0,resident
orimag1,Pica serica,カササギ,Oriental Magpie,0.002486697916666668,0.004896,48.0,resident
izuthr1,Turdus celaenops,アカコッコ,Izu Thrush,0.0024678479166666666,0.0102085,46.0,summer
migwar,Locustella ochotensis,シマセンニュウ,Middendorff's Grasshopper Warbler,0.002458085416666666,0.0152266,25.0,summer
brnshr,Lanius cristatus,アカモズ,Brown Shrike,0.0023870854166666675,0.009187,48.0,resident
whtnee,Hirundapus caudacutus,ハリオアマツバメ,White-throated Needletail,0.002339439583333334,0.008868,31.0,summer
